NewValues are Y: 0.469275, Pb: -0.023602, Pr: 0.020517
NewValues are Y: 0.450627, Pb: -0.030784, Pr: 0.019832
NewValues are Y: 0.720255, Pb: -0.023602, Pr: 0.020517
NewValues are Y: 0.565247, Pb: -0.026862, Pr: 0.019194
NewValues are Y: 0.627098, Pb: -0.030784, Pr: 0.019832
NewValues are Y: 0.730467, Pb: -0.036005, Pr: 0.018827
NewValues are Y: 0.666314, Pb: -0.030784, Pr: 0.019832
NewValues are Y: 0.565761, Pb: -0.036005, Pr: 0.018827
NewValues are Y: 0.599031, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.536286, Pb: -0.039289, Pr: 0.023068
NewValues are Y: 0.584239, Pb: -0.035367, Pr: 0.022430
